iter	Passed	Remaining
639	1607	904
640	1609	901
641	1610	898
642	1611	894
643	1613	891
644	1615	889
645	1617	886
646	1618	883
647	1620	880
648	1623	877
649	1624	874
650	1626	871
651	1628	869
652	1630	866
653	1632	863
654	1633	860
655	1636	857
656	1638	855
657	1639	852
658	1641	849
659	1643	846
660	1645	844
661	1647	841
662	1649	838
663	1652	835
664	1653	833
665	1655	830
666	1657	827
667	1661	825
668	1663	823
669	1665	820
670	1667	817
671	1669	814
672	1670	811
673	1672	808
674	1673	805
675	1675	802
676	1676	799
677	1677	796
678	1679	793
679	1680	791
680	1682	788
681	1683	784
682	1684	781
683	1685	778
684	1687	775
685	1688	772
686	1689	769
687	1691	767
688	1693	764
689	1696	762
690	1699	759
691	1701	757
692	1704	754
693	1706	752
694	1708	749
695	1710	747
696	1712	744
697	1715	742
698	1716	739
699	1718	736
700	1720	733
701	1722	731
702	1724	728
703	1726	725
704	1728	723
705	1730	720
706	1732	717
707	1733	715
708	1735	712
709	1737	709
710	1738	706
711	1739	703
712	1741	700
713	1742	698
714	1744	695
715	1746	692
716	1748	690
717	1750	687
718	1752	684
719	1753	682
720	1755	679
721	1757	676
722	1759	674
723	1761	671
724	1763	668
725	1765	666
726	1767	663
727	1770	661
728	1772	658
729	1774	656
730	1776	653
731	1778	651
732	1780	648
733	1783	646
734	1785	643
735	1788	641
736	1790	639
737	1792	636
738	1795	633
739	1797	631
740	1798	628
741	1801	626
742	1802	623
743	1804	620
744	1805	618
745	1807	615
746	1809	612
747	1812	610
748	1813	607
749	1815	605
750	1817	602
751	1819	599
752	1821	597
753	1823	594
754	1825	592
755	1827	589
756	1829	587
757	1831	584
758	1833	582
759	1835	579
760	1837	577
761	1839	574
762	1841	572
763	1843	569
764	1845	566
765	1847	564
766	1849	561
767	1851	559
768	1853	556
769	1855	554
770	1857	551
771	1859	549
772	1860	546
773	1862	543
774	1863	541
775	1865	538
776	1866	535
777	1867	533
778	1869	530
779	1871	527
780	1873	525
781	1875	522
782	1877	520
783	1879	517
784	1881	515
785	1883	512
786	1885	510
787	1887	507
788	1888	505
789	1889	502
790	1891	499
791	1893	497
792	1896	495
793	1898	492
794	1899	489
795	1901	487
796	1903	484
797	1905	482
798	1908	480
799	1911	477
800	1913	475
801	1916	473
802	1918	470
803	1921	468
804	1923	465
805	1926	463
806	1928	461
807	1931	459
808	1933	456
809	1936	454
810	1939	451
811	1941	449
812	1944	447
813	1947	444
814	1949	442
815	1952	440
816	1954	437
817	1956	435
818	1958	432
819	1961	430
820	1962	427
821	1964	425
822	1966	422
823	1968	420
824	1970	417
825	1972	415
826	1975	413
827	1977	410
828	1980	408
829	1982	406
830	1988	404
831	1991	402
832	1997	400
833	2001	398
834	2007	396
835	2012	394
836	2015	392
837	2018	390
838	2021	387
839	2023	385
840	2025	382
841	2027	380
842	2029	377
843	2031	375
844	2033	373
845	2035	370
846	2038	368
847	2040	365
848	2042	363
849	2043	360
850	2046	358
851	2047	355
852	2049	353
853	2051	350
854	2053	348
855	2055	345
856	2057	343
857	2059	340
858	2060	338
859	2061	335
860	2063	333
861	2064	330
862	2066	327
863	2067	325
864	2068	322
865	2069	320
866	2070	317
867	2072	315
868	2073	312
869	2074	310
870	2076	307
871	2077	304
872	2079	302
873	2080	299
874	2082	297
875	2084	295
876	2086	292
877	2087	290
878	2089	287
879	2091	285
880	2093	282
881	2096	280
882	2097	277
883	2099	275
884	2101	273
885	2103	270
886	2105	268
887	2107	265
888	2109	263
889	2110	260
890	2111	258
891	2113	255
892	2115	253
893	2117	251
894	2119	248
895	2121	246
896	2122	243
897	2124	241
898	2127	238
899	2128	236
900	2129	234
901	2130	231
902	2131	229
903	2132	226
904	2133	224
905	2135	221
906	2137	219
907	2139	216
908	2141	214
909	2143	211
910	2144	209
911	2146	207
912	2148	204
913	2150	202
914	2151	199
915	2153	197
916	2155	195
917	2157	192
918	2158	190
919	2160	187
920	2163	185
921	2165	183
922	2167	180
923	2169	178
924	2171	176
925	2172	173
926	2175	171
927	2177	168
928	2179	166
929	2181	164
930	2183	161
931	2185	159
932	2186	157
933	2187	154
934	2189	152
935	2192	149
936	2194	147
937	2196	145
938	2198	142
939	2199	140
940	2201	138
941	2203	135
942	2205	133
943	2207	130
944	2209	128
945	2212	126
946	2214	123
947	2215	121
948	2217	119
949	2220	116
950	2222	114
951	2224	112
952	2226	109
953	2228	107
954	2229	105
955	2232	102
956	2234	100
957	2235	98
958	2237	95
959	2239	93
960	2241	90
961	2243	88
962	2245	86
963	2247	83
964	2250	81
965	2252	79
966	2254	76
967	2256	74
968	2257	72
969	2258	69
970	2260	67
971	2261	65
972	2262	62
973	2264	60
974	2265	58
975	2267	55
976	2269	53
977	2270	51
978	2272	48
979	2273	46
980	2275	44
981	2279	41
982	2281	39
983	2283	37
984	2285	34
985	2287	32
986	2289	30
987	2291	27
988	2292	25
989	2294	23
990	2297	20
991	2299	18
992	2301	16
993	2304	13
994	2306	11
995	2308	9
996	2311	6
997	2313	4
998	2315	2
999	2317	0
